epoch, loss, acc, val_loss, val_acc
1, 0.4738273322582245, 0.8349999785423279, 0.3554839491844177, 0.8762000203132629
2, 0.3391430675983429, 0.8790833353996277, 0.3233504295349121, 0.8812000155448914
3, 0.3003091514110565, 0.8914333581924438, 0.2934989929199219, 0.8931000232696533
4, 0.27434244751930237, 0.8998166918754578, 0.27298980951309204, 0.9004999995231628
5, 0.2568851709365845, 0.9055166840553284, 0.2603532373905182, 0.9059000015258789
6, 0.24035431444644928, 0.911050021648407, 0.2571149468421936, 0.9053000211715698
7, 0.2272735834121704, 0.9156500101089478, 0.26760134100914, 0.9020000100135803
8, 0.21651926636695862, 0.9178500175476074, 0.23738978803157806, 0.9157000184059143
9, 0.199986532330513, 0.9253000020980835, 0.24388852715492249, 0.9118000268936157
10, 0.1907479465007782, 0.9283666610717773, 0.2421107441186905, 0.9126999974250793
